database,id,latitude,longitude,scientific_name,rank,taxon_id
ibp,336110,26.91667366,70.91437531,Rhinopoma hardwickii Gray 1831,species,NA
ibp,336071,17.36612129,78.30239105,Pteropus giganteus (Brünnich 1782),species,NA
ibp,333371,23.99876022,91.99097443,Pteropus giganteus (Brünnich 1782),species,NA
ibp,330367,19.94169998,75.21217346,Taphozous melanopogon Temminck 1841,species,NA
ibp,327695,8.549448013,76.97381592,Cynopterus sphinx (Vahl 1797),species,NA
ibp,326992,19.17723274,72.97267151,Pteropus giganteus (Brünnich 1782),species,NA
ibp,326963,11.98492146,76.17713928,Pteropus giganteus (Brünnich 1782),species,NA
ibp,326471,19.94169998,75.21217346,Rhinopoma,genus,NA
ibp,326470,19.15084457,72.95574188,Pteropus giganteus (Brünnich 1782),species,NA
ibp,325413,19.99063873,73.75777435,Cynopterus sphinx (Vahl 1797),species,NA
ibp,324876,16.86566162,82.28398895,Megaderma lyra E. Geoffroy 1810,species,NA
ibp,324249,19.13843918,72.81218719,Pteropus giganteus (Brünnich 1782),species,NA
ibp,323632,27.179533,78.02111053,Taphozous nudiventris Cretzschmar 1826,species,NA
ibp,273813,22.64036751,88.37203979,Pipistrellus tenuis (Temminck 1840),species,NA
ibp,273332,17.74342728,81.39767456,Pteropus giganteus (Brünnich 1782),species,NA
ibp,272702,11.71312237,92.73144531,Taphozous melanopogon Temminck 1841,species,NA
ibp,272082,12.42502117,76.65354156,Pteropus giganteus (Brünnich 1782),species,NA
ibp,271340,15.13054466,74.60105896,Taphozous melanopogon Temminck 1841,species,NA
ibp,270938,12.42502117,76.65354156,Pteropus giganteus (Brünnich 1782),species,NA
ibp,270809,23.48256111,77.7406311,Pteropus giganteus (Brünnich 1782),species,NA
ibp,269136,24.63371277,73.57217407,Pteropus giganteus (Brünnich 1782),species,NA
ibp,268988,11.27146912,76.22394562,Megaderma spasma (Linnaeus 1758),species,NA
inat,30031,9.987141,76.273591,Pteropus giganteus,NA,40917
inat,103066,19.22959498,72.97254324,Cynopterus sphinx,NA,40792
inat,130826,18.9943248,73.2667923,Rhinolophus lepidus,NA,40705
inat,186361,18.98746687,73.2623291,Megaderma spasma,NA,41321
inat,246445,23.998761,91.990972,Pteropus giganteus,NA,40917
inat,366686,19.990638,73.757778,Cynopterus,NA,40789
inat,383827,27.023804,74.217933,Rhinopoma,NA,40637
inat,444100,12.737836,80.175336,Pteropus giganteus,NA,40917
inat,445400,13.011253,80.267382,Pteropus giganteus,NA,40917
inat,600691,24.43202,92.330689,Hypsugo,NA,765438
inat,628489,15.459306,74.169044,Pteropus giganteus,NA,40917
inat,749472,27.524915,77.200126,Pteropus giganteus,NA,40917
inat,837711,23.693191,88.022492,Pteropus giganteus,NA,40917
inat,889305,15.85,74.5,Hipposideros lankadiva,NA,40749
inat,1144713,24.43202,92.330689,Pteropus giganteus,NA,40917
inat,1311708,19.35,72.8,Cynopterus sphinx,NA,40792
inat,1311736,19.35,72.8,Cynopterus sphinx,NA,40792
inat,1495750,12.545651,79.856428,Pteropus giganteus,NA,40917
inat,1516829,17.361521,78.29749,Pteropus giganteus,NA,40917
inat,1675728,24.600548,92.381362,Lyroderma lyra,NA,1370818
inat,1808796,19.641635,74.48187,Cynopterus sphinx,NA,40792
inat,1988146,22.778804,73.61428,Pteropus giganteus,NA,40917
inat,2211242,18.536537,73.831373,Pteropus giganteus,NA,40917
inat,2319406,23.487339,77.741824,Pteropus giganteus,NA,40917
inat,3599764,13.012342,80.269765,Pteropus giganteus,NA,40917
inat,4205523,19.104566,78.782256,Hipposideros lankadiva,NA,40749
inat,4205554,19.104566,78.782256,Hipposideros speoris,NA,40746
inat,4205558,19.104566,78.782256,Lyroderma lyra,NA,1370818
inat,4212887,17.38330889,78.40105265,Rousettus leschenaultii,NA,75044
inat,4213211,17.38329801,78.40106338,Tadarida aegyptiaca,NA,41300
inat,4213212,17.38329609,78.40107478,Lyroderma lyra,NA,1370818
inat,4213213,17.38329737,78.40107344,Rhinopoma hardwickii,NA,245993
inat,4213214,17.38329929,78.40106539,Taphozous nudiventris,NA,41377
inat,4213216,17.38330505,78.40107948,Taphozous melanopogon,NA,41376
inat,4213217,17.38331657,78.40107009,Hipposideros lankadiva,NA,40749
inat,4213218,17.38330185,78.40106808,Pipistrellus ceylonicus,NA,40368
inat,4213269,19.07999466,79.04982001,Taphozous melanopogon,NA,41376
inat,4213270,19.07998959,79.04983073,Rhinopoma hardwickii,NA,245993
inat,4213271,19.07999466,79.04982403,Hipposideros fulvus,NA,40722
inat,4213686,17.24466064,80.14701515,Rhinopoma hardwickii,NA,245993
inat,4213687,18.4766174,80.49990535,Hipposideros speoris,NA,40746
inat,4213873,19.64394153,78.6649847,Hipposideros speoris,NA,40746
inat,4221721,17.95312189,78.11425209,Lyroderma lyra,NA,1370818
inat,4221722,17.95312189,78.11425477,Rhinopoma hardwickii,NA,245993
inat,4222149,19.07745471,79.09927726,Scotophilus kuhlii,NA,40432
inat,4222150,19.07763722,79.09240544,Pteropus giganteus,NA,40917
inat,4228844,19.31,79.8,Taphozous melanopogon,NA,41376
inat,4228896,19.35114104,79.96675084,Hipposideros,NA,40713
inat,4228990,19.47929558,79.57523122,Lyroderma lyra,NA,1370818
inat,4228991,19.47929368,79.57522586,Pipistrellus tenuis,NA,40394
inat,4229060,19.47638124,79.56166327,Hipposideros lankadiva,NA,40749
inat,4229061,19.48315304,79.55722153,Taphozous longimanus,NA,41378
inat,4229130,19.109722,79.095556,Hipposideros speoris,NA,40746
inat,4229131,19.109722,79.09556,Hipposideros lankadiva,NA,40749
inat,4782099,27.147145,78.024902,Taphozous nudiventris,NA,41377
inat,4791375,12.42488729,76.65406939,Pteropus giganteus,NA,40917
inat,5113562,26.872478,78.564222,Pteropus giganteus,NA,40917
inat,5508558,30.4599099,78.0663978,Rhinolophus luctus,NA,40686
inat,5615639,23.20102392,80.08281326,Pteropus giganteus,NA,40917
inat,6098194,22.536273,88.3333104,Pteropus giganteus,NA,40917
inat,6327433,12.97203477,77.58922619,Pteropus giganteus,NA,40917
inat,6340441,28.63164167,77.247955,Rhinopoma,NA,40637
inat,6472374,21.77990534,79.49707031,Rhinolophus,NA,40642
inat,6472385,27.14714484,78.02764893,Taphozous,NA,41372
inat,6472391,26.98082859,78.28582764,Pteropus giganteus,NA,40917
inat,6508253,26.1851947,91.7634659,Vespertilionidae,NA,40269
inat,6647440,25.27121396,91.72932509,Rhinolophus,NA,40642
inat,6845638,19.9427145,75.2131507,Taphozous melanopogon,NA,41376
inat,6845647,19.9172466,75.3118818,Taphozous nudiventris,NA,41377
inat,6870083,26.65788577,77.90446043,Pteropus giganteus,NA,40917
inat,7583610,11.6758295,92.7624249,Pteropus melanotus,NA,40894
inat,7716829,23.616531,86.768389,Rhinolophus,NA,40642
inat,7927884,24.74468667,80.01628167,Cynopterus sphinx,NA,40792
inat,8090250,15.36500454,75.12419891,Pteropus giganteus,NA,40917
inat,8282876,9.4392519,76.4799881,Cynopterus,NA,40789
inat,8325706,21.17205333,70.59498833,Pteropus giganteus,NA,40917
inat,8326133,23.37759167,69.265665,Rhinopoma microphyllum,NA,40640
inat,8327186,23.35061,71.65321167,Rhinopoma microphyllum,NA,40640
inat,8327928,26.031025,76.46821944,Pteropus giganteus,NA,40917
inat,8628930,22.5389478,88.3325374,Pteropus giganteus,NA,40917
inat,8991607,17.35956736,78.29891553,Pteropus giganteus,NA,40917
inat,9013789,17.38253675,78.40165132,Rousettus leschenaultii,NA,75044
inat,9114129,17.3595084,78.29869822,Pteropus giganteus,NA,40917
inat,9148940,18.92617283,72.83180505,Pteropus giganteus,NA,40917
inat,9251578,19.3887296,85.0390172,Rhinopoma hardwickii,NA,245993
inat,9373675,22.14371476,80.65721121,Hipposideros lankadiva,NA,40749
inat,9376018,10.1929593,76.52226448,Pteropus giganteus,NA,40917
inat,9438423,12.932105,77.68329667,Vespertilionidae,NA,40269
inat,9468754,26.91290399,70.91337672,Taphozous nudiventris,NA,41377
inat,9482586,26.73659403,91.5313239,Pteropus giganteus,NA,40917
inat,9497650,26.91286193,70.91331445,Taphozous nudiventris,NA,41377
inat,9835109,26.89499163,75.81201226,Rhinopoma,NA,40637
inat,9835129,12.92200895,77.68003454,Pipistrellus coromandra,NA,40367
inat,9835143,15.26450829,74.62572984,Taphozous melanopogon,NA,41376
inat,9843962,16.95930204,73.29219818,Rousettus leschenaultii,NA,75044
inat,9903580,15.33508805,76.4614671,Hipposideros speoris,NA,40746
inat,9903600,15.33520491,76.46180392,Rhinopoma,NA,40637
inat,9906744,25.44885181,75.63544571,Rhinopoma,NA,40637
inat,9906811,25.44885181,75.63548863,Rhinopoma,NA,40637
inat,10372518,18.9261517,72.8333918,Chiroptera,NA,40268
inat,10671957,26.98386013,75.8607917,Rhinopoma,NA,40637
inat,11203986,15.40821931,73.92188161,Pteropus giganteus,NA,40917
inat,11363015,19.07039167,72.83353333,Rousettus leschenaultii,NA,75044
inat,12201701,26.016015,76.5040197,Pteropus giganteus,NA,40917
inat,12633925,27.17845435,78.02301407,Taphozous nudiventris,NA,41377
inat,13019079,12.42370987,76.65401459,Pteropus giganteus,NA,40917
inat,13183282,13.010094,80.266083,Pteropus giganteus,NA,40917
inat,13415454,32.19221632,76.22882847,Pteropus giganteus,NA,40917
inat,13450921,25.14582049,75.77487859,Pteropus giganteus,NA,40917
inat,13674076,22.42101097,87.32578278,Scotophilus,NA,40431
inat,13698485,23.68304493,81.0358429,Rhinolophus lepidus,NA,40705
inat,14128248,19.90053177,82.66027451,Vespertilionidae,NA,40269
inat,14196285,21.89949397,87.37583505,Yangochiroptera,NA,446946
inat,15041648,12.978475,77.68010833,Vespertilioninae,NA,846180
inat,15161427,12.5299917,76.8822183,Pteropus giganteus,NA,40917
inat,15257995,26.90931667,70.92137167,Rhinolophoidea,NA,446956
inat,15258036,27.94706167,73.0526805,Pteropus giganteus,NA,40917
inat,16106807,19.02368736,72.85292053,Pteropus giganteus,NA,40917
inat,16126720,15.37466856,76.46551811,Hipposideros speoris,NA,40746
inat,16259613,22.04008105,72.01622987,Scotozous dormeri,NA,75077
inat,16259686,21.17250691,70.60231927,Hesperoptenus tickelli,NA,40513
inat,16454181,18.5204303,73.8567437,Pteropus giganteus,NA,40917
inat,16455752,23.25212097,72.508255,Vespertilionidae,NA,40269
inat,16882274,23.2419997,69.6669324,Pteropodidae,NA,40782
inat,16882309,21.2553076,69.9639669,Lyroderma lyra,NA,1370818
inat,17024661,12.91429518,77.58646551,Pteropus giganteus,NA,40917
inat,17027215,12.97836638,74.84134384,Pteropus giganteus,NA,40917
inat,17096534,12.26809597,78.98603058,Vespertilionidae,NA,40269
inat,17123746,13.518667,75.0905067,Cynopterus,NA,40789
inat,17123994,12.4243603,76.6563492,Pteropus giganteus,NA,40917
inat,17290591,24.98763342,73.41847658,Pteropus giganteus,NA,40917
inat,17794222,19.890195,82.690905,Vespertilionidae,NA,40269
inat,17872932,25.45190657,75.63513835,Rhinopoma,NA,40637
inat,18153224,12.417655,76.661971,Pteropus giganteus,NA,40917
inat,18167778,15.45969986,73.81153218,Pteropus giganteus,NA,40917
inat,18208387,22.98882542,87.00679931,Pteropus giganteus,NA,40917
inat,18299581,22.29638863,73.24388886,Rousettus leschenaultii,NA,75044
